title,text,category
Fallen tree on tracks disrupts trains,"A fallen tree halted trains between Cosham and Southampton Central and Eastleigh.

The large tree was found laying across the line near Portchester in the early hours, causing disruption to Great Western Railway, Southern and South Western Railway services.

National Rail said its staff worked to chop up and remove the tree as quickly as possible with lines reopened shortly before 11:00 BST.

While trains get back up and running on the line, cancellations and delays by up to 30 minutes can be expected until about 19:00, it continued.

Routes affected:

- Great Western Railway services between Portsmouth Harbour and Bristol Temple Meads/Cardiff Central

- South Western Railway services between Portsmouth Harbour and Eastleigh/London Waterloo, between Portsmouth & Southsea and Southampton Central

- Southern services between Brighton and Southampton Central

",Trains
Passengers face further wait for new trains,"New trains connecting Derby, Nottingham, Leicester and Sheffield with London are facing more delays before they are introduced.

East Midlands Railway's fleet of Class 810 Aurora trains were originally meant to enter service in 2022 but have yet to be used by passengers.

The new trains, which can run using diesel or electric power, have reportedly faced a series of teething problems during testing, with the latest delay initially reported by Rail Magazine.

The firm had previously hoped passengers would see the trains in service from May 2025 but now merely says it is committed to starting the introduction of the Class 810 trains on its Intercity route ""as soon as possible"".

East Midlands Railway's new Intercity fleet of 33 five-carriage trains is being built by Hitachi Rail in County Durham.

They were ordered to replace diesel trains introduced in 2004 and will run off electric power from overhead lines between London St Pancras and a junction to the south of Leicester.

Diesel engines will power the trains elsewhere on the network.

The Class 810 units are similar to existing trains running on the East Coast and Great Western main lines and promise improved features for passengers including more seats, fresh, modern interiors, air conditioning, free WiFi, plug sockets and better passenger information screens.

The first trains delivered to the operator have been undergoing testing on the UK rail network.

Freelance transport writer Pip Dunn says East Midlands Railway (EMR) is not alone in experiencing teething problems with its new trains.

""The delays of the Class 810s is just another in a long line of new trains failing to enter traffic on a date even close to their intended introduction,"" he said, adding the delay could have a serious knock-on effect.

""In this case, there is the added issue that some of the Class 222 trains EMR is due to return to their leasing company have already been earmarked for another user, so it is inevitable that one operator is going to be short of the number of trains it needs to fulfil their timetables.""

In a statement, EMR told the BBC it was working to bring the new trains into service as soon as possible.

""Testing and validation of the units has commenced and will continue over the summer,"" it said.

""Following this, we will be able to accept units and begin to train our drivers and train crews"".

A spokesman added: ""We remain committed to starting the introduction of the Class 810 trains on our Intercity route as soon as possible, with a phased roll-out during 2026.

""In parallel, we are working closely with industry partners to ensure service continuity and minimise the impact on passengers whilst we transition to our new trains"".",Trains
Leaks pulled new Metro trains from service,"A number of new Tyne and Wear Metro trains were withdrawn from service due to water leaks, operator Nexus has confirmed.

It said faults with heating, ventilation and air conditioning units caused the problems on Saturday, which the BBC understands affected four trains.

A joint investigation is being carried out with Swiss-manufacturer Stadler. It is understood all but one of the six new models available to passengers are back in service.

Nexus said the introduction of the new £362m fleet was the most ""complicated and challenging in its history"" and apologised to customers.

It comes after five of the fleet were pulled in April while a problem with doors was fixed.
More trains due

Nexus managing director Cathy Massarella and Lucius Gerig, CEO of Stadler Switzerland, said the issues over the last few days, which saw water leak into the carriages, were being investigated.

Both said they were working together to rectify any problems as ""quickly as possible.""

""We'd like to apologise to anyone who have been affected by this"", a joint statement said.

""Please be assured that we are doing everything we can to maintain a good service for customers.

""The fleet introduction is the biggest and most complex project in the history of the Tyne and Wear Metro and the current phase is the most challenging of any fleet transition project.""

They added they were taking ""a careful and phased approach"" to introducing the new trains, which will eventually replace the old fleet that has been operating for more than 40 years ago.

The first of the new trains made its maiden journey in December, with a series of delays meaning the original target date of summer 2023 was missed.

It is hoped that all 46 of the new trains will be in use by the end of 2026, with half due by the end of this year.",Trains
All trains to and from major airport cancelled,"All trains to and from London Stansted Airport are currently cancelled because of an ""unsafe"" track defect.

National Rail said trains are not able to run in or out of the airport until a broken rail near the terminal's railway station is inspected and replaced if necessary.

Tickets are being accepted on buses between the Essex terminal and Bishop's Stortford.

The disruption is expected to continue until at least 18:00 BST.

All Greater Anglia, Stansted Express and CrossCountry lines serving the airport are affected.",Trains
GWR battery-powered trains could be used in future,"Battery-powered trains could be used more frequently after a successful trial by Great Western Railway (GWR).

The rail company says using former underground trains and a rapid-charging system has shown the technology could replace its existing diesel fleet.

The year-long trial was held in west London but the trains will eventually be rolled out in the Thames Valley.

GWR says it can now prove the concept works and hopes to take the initiative to government.

GWR's railway franchise includes the west and south west of England, as well as routes between London and Didcot, Oxford, Reading and Windsor.

The trains use an onboard FastCharge battery that delivers the equivalent of a full charge for a car in 85 seconds.

Engineering director Simon Green said: ""...we are at a position where we understand how the technology works, the fact the technology can work in many different contexts as well.

""Going forward, we think it's a viable technology for application across wider parts of the Great Western network and the national UK rail network as well.""

The rapid charging system works by installing huge trackside batteries, which are cheaper than fitting overhead wires.

When the train pulls into the station, two shoes are extended to live rails between the tracks, topping up the onboard batteries.

An executive summary of the trial from GWR said: ""The success of the trial allows GWR to look more confidently at a future without diesel, providing alternative options that are cheaper to deliver while achieving the common goal of a cleaner, greener railway.""
",Trains
Model trains and boats among items stolen from home,"Model boats and two vintage motorbikes were among the collectors' items and family heirlooms stolen from the home of an engineering enthusiast in his 90s.

Thames Valley Police said thieves took various possessions from a home on Netherton Road, in Abingdon, on 4 May.

Also among the items stolen were model steam trains and other antiques.

The son of the victim, who wishes to remain anonymous, urged the public to ""please help us to recover his treasured belongings"".

Det Con Laura Oakes said: ""We're appealing to anybody who has any knowledge of the whereabouts of this property to please come forward with information to help return them to the family.""

Police said the vintage motorbikes were believed to have been advertised for sale online in the Oxfordshire area since the theft.

""It is believed the motorcycles were advertised for sale in May, so we would urge anybody with information about the sale of the purchase of them to contact police,"" Det Con Oakes said.

The victim's son said: ""Our father is over 90-years-old. He served in the Royal Electrical and Mechanical Engineers and later worked at the Pressed Steel in Cowley, designing mechanical parts of cars.

""His passion was collecting everything to do with engineering, model steam trains and engines and motorbikes.

""Working on these engines kept him alive and continue to give him great enjoyment and a sense of purpose.""

Anybody with any information that may help to locate the stolen items has been urged to contact Thames Valley Police.",Trains
New Piccadilly line trains delayed by up to a year,"New Piccadilly line trains will now be introduced up to a year later than planned.

The 94 fully walk-through trains with air-conditioning and CCTV had been pencilled in for passenger use in late 2025.

Transport for London (TfL) confirmed that this was now scheduled to happen in the second half of 2026.

Testing for the trains will begin this summer, TfL said. The new-generation trains will replace the existing 1970s fleet. 

The new trains will be lighter and more environmentally friendly, with real-time displays and wider doorways. The model is being described as the ""most complex"" train ever to be introduced to the Tube network.

TfL said some of the engineering challenges were down to the Piccadilly line being one of the longest and deepest Tube lines.

The network added that the engineering complexities had been more challenging than expected, which had caused the delay to the rollout.

Siemens Mobility and TfL said it would take up to a year to test the trains, which is partly due to the tunnel infrastructure on a rail line that is nearly 120 years old.

Sambit Banerjee, Joint CEO at Siemens Mobility, said: ""We're sorry we can't have our innovative trains running for passengers even sooner but, once they're in service, the technology on these new trains will bring smoother, greener and more comfortable journeys for Londoners for the next 30 or more years.""",Trains
Trains steam back into town after 30-year campaign,"Heritage railway bosses say there is still more work to do after a decades-long campaign saw passenger trains returning to a town.

Jack Ilcyszyn, assistant general manager of the Churnet Valley Railway in Staffordshire, said he had not even been born when the idea of restoring the line to Leek was first suggested.

The heritage railway organisation has not always had a smooth ride, however, with a number of issues to navigate to get to this latest success, extending their existing track from Leekbrook into the town.

There also remains outstanding the not-inconsiderable issue of a station still to be built – the site of the original Leek Railway Station is now home to a Morrisons supermarket.

The last mainline passenger service into Leek from Uttoxeter was on 4 January 1965, according to the the railway's website, with goods traffic ending in July 1970.

Mr Ilcyszyn said the project really got under way at the end of 2019, supported with a grant of £1.4m of European funding.

It became stalled by the Covid pandemic and had been ""an uphill battle"" ever since, according to Mr Ilcyszyn.

After lockdown restrictions were lifted, planning permission for the scheme lapsed.

""We had all the materials, all the site, all the contracts signed but we now didn't have the planning application,"" Mr Ilcyszyn said.

Once planning approval was approved again, towards the end of 2022 further issues arose as they began laying track, due to sewage pipes running underground parallel to the planned railway line.

They were forced to change their original plans, extending the embankment further to one side to give extra space between the track and the pipework.

Mr Ilcyzsyn said this added about £500,000 to the project's costs and, overall, the scheme fell about a year and a half behind schedule.

But with the last rail laid, the first train ran along the newly extended section of railway on 31 December 2024, just in time to meet their funding deadline.

However, the project did also face political headwinds with a change in leadership at Staffordshire Moorlands District Council Mr Ilcyszyn said, with a new administration which he claimed was not supportive of the railway.

But the council's leader, Mike Gledhill, said the new section of railway was a valuable part of the area's tourism strategy.

""Churnet Valley Railway's extension to Leekbrook is a significant and welcomed development,"" he said.

He added there had been recent contact about possible future funding opportunities.

Extending the line cost about £1.8m so far but there are still plans by the group to build a new station and car parking facilities.

Taking the railway to Leek brings the added benefit, the organisation said, of connecting with existing amenities within the town, which are not available at other stops along the line.

Trains currently run to Leek during the railway's Steam Heritage Open Days.

The remaining journeys into Leek this year will take place on 27 September and 18 October, Mr Ilcyszyn added.",Trains
Reduced timetable as new DLR trains delayed,"Newly built Docklands Light Railway (DLR) trains that were due to be introduced in April 2024 will not be ready until later this year, leading to a temporary reduction in services.

A fifth of its 90 trains, some of which have been operating since the early 1990s, are being retired this summer. By the end of next year, there should be 54 new trains.

The Transport for London (TfL) commissioner's report for June states it is ""rectifying the signalling issues"" discovered during testing last year.

Stuart Harvey, TfL's chief capital officer, said: ""We apologise for any inconvenience to customers but these changes are necessary to ensure we can maintain the most reliable service possible.""

TfL hopes to introduce the 54 new trains and replace the oldest 33 in its fleet by the end of 2026.

Mr Harvey added: ""Testing of the new DLR trains - which will significantly improve frequency, reliability and customer experience across the network - is now well advanced and we will soon commence reliability runs.

""We are working very closely with our supply chain to complete the final activities prior to bringing them into passenger service, and remain on track to introduce the first new trains later this year.

""To extend the life of the old trains they are replacing, there will be some short-term timetable changes to reduce mileage.""",Trains
Union claims trains are 'disrupted' for rugby fans,"A union has claimed there will be ""severe disruption"" for Hull rugby fans travelling via train to Wembley.

The Challenge Cup Final with Hull Kingston Rovers facing Warrington Wolves takes place in London on Saturday.

Train drivers' union Aslef which has been involved in a long-running dispute with Hull Trains, said industrial action would force the operator to cancel services.

Hull Trains said that ""minor alterations"" were in place on Friday due to the industrial action with 80% of its services running.

The union claimed a driver was unfairly dismissed for raising a safety concern, which the company denies.

Nigel Roebuck, Aslef's organiser in the north east of England, said: 'Aslef members don't take strike action lightly, and we fully understand the anger of passengers wishing to travel to the Challenge Cup final on Saturday at Wembley.

'But angry fans should understand that this is a dispute entirely engineered by the company, not by us.""

A Hull Trains spokesperson said: ""90% of our timetabled services on 7 June are planned to operate as normal, this includes our additional 08:57 direct service to London and the 20:27 direct service back to Hull.

""If fans are travelling to London today [Friday], 80% of our timetabled services are planned to operate as normal.

""Customers can find the latest travel information on our website and social media channels.""

Hull Trains also wished Hull KR ""the best of luck"" in the final.
Excited fans

Up to 20,000 Hull KR fans are expected to make the journey to the capital for the final.

On Thursday, hundreds of fans gathered at Craven Park to give the players a send-off ahead of Saturday's final.

Laurie, who was in the crowd with his granddaughter said it felt ""emotional"" seeing the players embark on their trip to London.

Another fan, Kayleigh Parker-Lines, who was with her children, said the club was a ""huge part of our lives"".",Trains
